# top line  : fill_value    column number density n_column (molec/cm2)
# next lines: wavenumber nu (cm-1)    optical thickness tau_abs(nu)
13058.600  1.839987e-04
13058.610  1.877698e-04
13058.620  1.916882e-04
13058.630  1.957592e-04
13058.640  1.999890e-04
13058.650  2.043838e-04
13058.660  2.089510e-04
13058.670  2.136981e-04
13058.680  2.186336e-04
13058.690  2.237665e-04
13058.700  2.291063e-04
13058.710  2.346636e-04
13058.720  2.404495e-04
13058.730  2.464762e-04
13058.740  2.527564e-04
13058.750  2.593042e-04
13058.760  2.661344e-04
13058.770  2.732630e-04
13058.780  2.807075e-04
13058.790  2.884863e-04
13058.800  2.966194e-04
13058.810  3.051286e-04
13058.820  3.140371e-04
13058.830  3.233702e-04
13058.840  3.331550e-04
13058.850  3.434211e-04
13058.860  3.542006e-04
13058.870  3.655281e-04
13058.880  3.774413e-04
13058.890  3.899814e-04
13058.900  4.031932e-04
13058.910  4.171254e-04
13058.920  4.318316e-04
13058.930  4.473700e-04
13058.940  4.638050e-04
13058.950  4.812068e-04
13058.960  4.996529e-04
13058.970  5.192287e-04
13058.980  5.400285e-04
13058.990  5.621567e-04
13059.000  5.857289e-04
13059.010  6.108738e-04
13059.020  6.377345e-04
13059.030  6.664709e-04
13059.040  6.972618e-04
13059.050  7.303080e-04
13059.060  7.658351e-04
13059.070  8.040977e-04
13059.080  8.453838e-04
13059.090  8.900203e-04
13059.100  9.383792e-04
13059.110  9.908853e-04
13059.120  1.048026e-03
13059.130  1.110360e-03
13059.140  1.178537e-03
13059.150  1.253305e-03
13059.160  1.335540e-03
13059.170  1.426263e-03
13059.180  1.526679e-03
13059.190  1.638209e-03
13059.200  1.762542e-03
13059.210  1.902178e-03
13059.220  2.058591e-03
13059.230  2.235201e-03
13059.240  2.435597e-03
13059.250  2.664422e-03
13059.260  2.926743e-03
13059.270  3.229571e-03
13059.280  3.581517e-03
13059.290  3.993541e-03
13059.300  4.479743e-03
13059.310  5.058443e-03
13059.320  5.753717e-03
13059.330  6.597543e-03
13059.340  7.632834e-03
13059.350  8.917672e-03
13059.360  1.053103e-02
13059.370  1.258000e-02
13059.380  1.520718e-02
13059.390  1.859332e-02
13059.400  2.294149e-02
13059.410  2.841499e-02
13059.420  3.498327e-02
13059.430  4.217501e-02
13059.440  4.886655e-02
13059.450  5.342731e-02
13059.460  5.442833e-02
13059.470  5.152243e-02
13059.480  4.568466e-02
13059.490  3.856183e-02
13059.500  3.158506e-02
13059.510  2.553897e-02
13059.520  2.064184e-02
13059.530  1.679996e-02
13059.540  1.381830e-02
13059.550  1.150086e-02
13059.560  9.685604e-03
13059.570  8.248480e-03
13059.580  7.097409e-03
13059.590  6.164667e-03
13059.600  5.400365e-03
13059.610  4.767499e-03
13059.620  4.238352e-03
13059.630  3.791951e-03
13059.640  3.412242e-03
13059.650  3.086810e-03
13059.660  2.805951e-03
13059.670  2.561801e-03
13059.680  2.348709e-03
13059.690  2.161510e-03
13059.700  1.996231e-03
13059.710  1.849626e-03
13059.720  1.719025e-03
13059.730  1.602218e-03
13059.740  1.497363e-03
13059.750  1.402917e-03
13059.760  1.317579e-03
13059.770  1.240250e-03
13059.780  1.169999e-03
13059.790  1.106033e-03
13059.800  1.047679e-03
13059.810  9.943669e-04
13059.820  9.456190e-04
13059.830  9.010372e-04
13059.840  8.602931e-04
13059.850  8.231061e-04
13059.860  7.891977e-04
13059.870  7.582071e-04
13059.880  7.295955e-04
13059.890  7.026293e-04
13059.900  6.765608e-04
13059.910  6.509520e-04
13059.920  6.258611e-04
13059.930  6.016922e-04
13059.940  5.788659e-04
13059.950  5.576051e-04
13059.960  5.379253e-04
13059.970  5.197198e-04
13059.980  5.028430e-04
13059.990  4.871520e-04
13060.000  4.725215e-04
13060.010  4.588464e-04
13060.020  4.460381e-04
13060.030  4.340222e-04
13060.040  4.227348e-04
13060.050  4.121208e-04
13060.060  4.021319e-04
13060.070  3.927254e-04
13060.080  3.838632e-04
13060.090  3.755111e-04
13060.100  3.676384e-04
13060.110  3.602172e-04
13060.120  3.532221e-04
13060.130  3.466300e-04
13060.140  3.404198e-04
13060.150  3.345722e-04
13060.160  3.290693e-04
13060.170  3.238950e-04
13060.180  3.190343e-04
13060.190  3.144735e-04
13060.200  3.102001e-04
13060.210  3.062025e-04
13060.220  3.024700e-04
13060.230  2.989930e-04
13060.240  2.957627e-04
13060.250  2.927708e-04
13060.260  2.900100e-04
13060.270  2.874736e-04
13060.280  2.851557e-04
13060.290  2.830507e-04
13060.300  2.811537e-04
13060.310  2.794607e-04
13060.320  2.779678e-04
13060.330  2.766717e-04
13060.340  2.755700e-04
13060.350  2.746603e-04
13060.360  2.739410e-04
13060.370  2.734109e-04
13060.380  2.730694e-04
13060.390  2.729162e-04
13060.400  2.729518e-04
13060.410  2.731770e-04
13060.420  2.735932e-04
13060.430  2.742025e-04
13060.440  2.750074e-04
13060.450  2.760113e-04
13060.460  2.772181e-04
13060.470  2.786326e-04
13060.480  2.802604e-04
13060.490  2.821082e-04
13060.500  2.841836e-04
13060.510  2.864956e-04
13060.520  2.890547e-04
